全国地方公共団体コード,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,緯度,経度,設置場所詳細,設置場所詳細_カナ,設置場所_英語,設置者,電話番号,内線番号,SSID,提供エリア,URL,備考
282073,兵庫県,伊丹市,有岡城跡公園,アリオカジョウセキコウエン,Arioka Castle Ruins,兵庫県伊丹市伊丹1-16,,34.780851,135.421042,,,,伊丹市,,,Itami_Free_Wi-Fi,,http://www.city.itami.lg.jp/shokai/sansaku/1488182657648.html,
282073,兵庫県,伊丹市,市バス総合案内所,シバスソウゴウアンナイジョ,City Bus Terminal,兵庫県伊丹市西台1-1-24,,34.780171,135.413086,,,,伊丹市,,,Itami_Free_Wi-Fi,,http://www.city.itami.lg.jp/shokai/sansaku/1488182657648.html,
282073,兵庫県,伊丹市,市立伊丹ミュージアム,シリツイタミミュージアム,Itami City Museum,兵庫県伊丹市宮ノ前2-5,,34.781996,135.417263,旧石橋家住宅,キュウイシバシケジュウタク,Former Ishibashi Residence,伊丹市,,,Itami_Free_Wi-Fi,,http://www.city.itami.lg.jp/shokai/sansaku/1488182657648.html,
282073,兵庫県,伊丹市,市立伊丹ミュージアム,シリツイタミミュージアム,Itami City Museum,兵庫県伊丹市宮ノ前2-5-20,,34.782622,135.417333,展示室1（柿衞文庫）,テンジシツ1（カキモリブンコ）,Exhibition Room1(Kakimori Bunko (Haiku Museum and Library)),伊丹市,,,Itami_Free_Wi-Fi,,http://www.city.itami.lg.jp/shokai/sansaku/1488182657648.html,
282073,兵庫県,伊丹市,市立伊丹ミュージアム,シリツイタミミュージアム,Itami City Museum,兵庫県伊丹市宮ノ前2-5-32,,34.78212,135.416952,旧岡田家住宅／酒蔵1,キュウオカダケジュウタク　サカグラ 1,Former Okada Residence and Sake Brewery 1,伊丹市,,,Itami_Free_Wi-Fi,,http://www.city.itami.lg.jp/shokai/sansaku/1488182657648.html,
282073,兵庫県,伊丹市,市立伊丹ミュージアム,シリツイタミミュージアム,Itami City Museum,兵庫県伊丹市宮ノ前2-5-32,,34.782049,135.417108,旧岡田家住宅／酒蔵2,キュウオカダケジュウタク　サカグラ 2,Former Okada Residence and Sake Brewery 2,伊丹市,,,Itami_Free_Wi-Fi,,http://www.city.itami.lg.jp/shokai/sansaku/1488182657648.html,
282073,兵庫県,伊丹市,市立伊丹ミュージアム,シリツイタミミュージアム,Itami City Museum,兵庫県伊丹市宮ノ前2-5-20,,34.782177,135.417387,アトリエ,アトリエ,Atelier,伊丹市,,,Itami_Free_Wi-Fi,,http://www.city.itami.lg.jp/shokai/sansaku/1488182657648.html,
282073,兵庫県,伊丹市,市立伊丹ミュージアム,シリツイタミミュージアム,Itami City Museum,兵庫県伊丹市宮ノ前2-5-20,,34.782428,135.417387,講座室,コウザシツ,Lecture room,伊丹市,,,Itami_Free_Wi-Fi,,http://www.city.itami.lg.jp/shokai/sansaku/1488182657648.html,
282073,兵庫県,伊丹市,市立伊丹ミュージアム,シリツイタミミュージアム,Itami City Museum,兵庫県伊丹市宮ノ前2-5-20,,34.782543,135.417376,ホールロビー,ホールロビー,hall lobby,伊丹市,,,Itami_Free_Wi-Fi,,http://www.city.itami.lg.jp/shokai/sansaku/1488182657648.html,
282073,兵庫県,伊丹市,市立伊丹ミュージアム,シリツイタミミュージアム,Itami City Museum,兵庫県伊丹市宮ノ前2-5-20,,34.782344,135.417392,展示室2,テンジシツ2,Exhibition Room2,伊丹市,,,Itami_Free_Wi-Fi,,http://www.city.itami.lg.jp/shokai/sansaku/1488182657648.html,
282073,兵庫県,伊丹市,市立伊丹ミュージアム,シリツイタミミュージアム,Itami City Museum,兵庫県伊丹市宮ノ前2-5-20,,34.782344,135.417392,展示室3,テンジシツ3,Exhibition Room3,伊丹市,,,Itami_Free_Wi-Fi,,http://www.city.itami.lg.jp/shokai/sansaku/1488182657648.html,
282073,兵庫県,伊丹市,市立伊丹ミュージアム,シリツイタミミュージアム,Itami City Museum,兵庫県伊丹市宮ノ前2-5-20,,34.782344,135.417392,展示室4（歴史展示）,テンジシツ4（レキシテンジ）,Exhibition Room4(The Permanent Exhibition of Itami History),伊丹市,,,Itami_Free_Wi-Fi,,http://www.city.itami.lg.jp/shokai/sansaku/1488182657648.html,
282073,兵庫県,伊丹市,市立伊丹ミュージアム,シリツイタミミュージアム,Itami City Museum,兵庫県伊丹市宮ノ前2-5-20,,34.782344,135.417392,展示室5,テンジシツ5,Exhibition Room5,伊丹市,,,Itami_Free_Wi-Fi,,http://www.city.itami.lg.jp/shokai/sansaku/1488182657648.html,
282073,兵庫県,伊丹市,市立伊丹ミュージアム,シリツイタミミュージアム,Itami City Museum,兵庫県伊丹市宮ノ前2-5-20,,34.782344,135.417392,展示室6,テンジシツ6,Exhibition Room6,伊丹市,,,Itami_Free_Wi-Fi,,http://www.city.itami.lg.jp/shokai/sansaku/1488182657648.html,
282073,兵庫県,伊丹市,三軒寺前広場,サンゲンデラマエヒロバ,Sangendera Temple Square,兵庫県伊丹市中央3-2-4,,34.780816,135.416242,,,,伊丹市,,,Itami_Free_Wi-Fi,,http://www.city.itami.lg.jp/shokai/sansaku/1488182657648.html,
282073,兵庫県,伊丹市,白雪ブルワリービレッジ長寿蔵　レストラン,シラユキブルワリービレッジチョウジュグラ　レストラン,Shirayuki Brewery Village Chojugura restaurant,兵庫県伊丹市中央3-4-15,,34.781096,135.417254,,,,伊丹市,,,Itami_Free_Wi-Fi,,http://www.city.itami.lg.jp/shokai/sansaku/1488182657648.html,
282073,兵庫県,伊丹市,白雪ブルワリービレッジ長寿蔵　ショップ,シラユキブルワリービレッジチョウジュグラ　ショップ,Shirayuki Brewery Village Chojugura shop,兵庫県伊丹市中央3-4,,34.781083,135.417539,,,,伊丹市,,,Itami_Free_Wi-Fi,,http://www.city.itami.lg.jp/shokai/sansaku/1488182657648.html,
282073,兵庫県,伊丹市,観光物産ギャラリー,カンコウブッサンギャラリー,Tourist Information Center,兵庫県伊丹市伊丹1-15-20,,34.780684,135.421846,,,,伊丹市,,,Itami_Free_Wi-Fi,,http://www.city.itami.lg.jp/shokai/sansaku/1488182657648.html,
282073,兵庫県,伊丹市,伊丹スカイパーク,イタミスカイパーク,Itami Sky Park,兵庫県伊丹市森本7-1-1,,34.781987,135.436028,伊丹スカイパーク1,イタミスカイパーク1,Itami Sky Park 1,伊丹市,,,Itami_Free_Wi-Fi,,http://www.city.itami.lg.jp/shokai/sansaku/1488182657648.html,
282073,兵庫県,伊丹市,伊丹スカイパーク,イタミスカイパーク,Itami Sky Park,兵庫県伊丹市森本7-1-1,,34.781979,135.436763,伊丹スカイパーク2,イタミスカイパーク2,Itami Sky Park 2,伊丹市,,,Itami_Free_Wi-Fi,,http://www.city.itami.lg.jp/shokai/sansaku/1488182657648.html,
282073,兵庫県,伊丹市,伊丹スカイパーク,イタミスカイパーク,Itami Sky Park,兵庫県伊丹市森本7-1-1,,34.78097,135.438201,伊丹スカイパーク3,イタミスカイパーク3,Itami Sky Park 3,伊丹市,,,Itami_Free_Wi-Fi,,http://www.city.itami.lg.jp/shokai/sansaku/1488182657648.html,
282073,兵庫県,伊丹市,伊丹スカイパーク,イタミスカイパーク,Itami Sky Park,兵庫県伊丹市森本7-1-1,,34.779106,135.440319,伊丹スカイパーク4,イタミスカイパーク4,Itami Sky Park 4,伊丹市,,,Itami_Free_Wi-Fi,,http://www.city.itami.lg.jp/shokai/sansaku/1488182657648.html,
282073,兵庫県,伊丹市,伊丹スカイパーク,イタミスカイパーク,Itami Sky Park,兵庫県伊丹市森本7-1-1,,34.778802,135.440706,伊丹スカイパーク5,イタミスカイパーク5,Itami Sky Park 5,伊丹市,,,Itami_Free_Wi-Fi,,http://www.city.itami.lg.jp/shokai/sansaku/1488182657648.html,
282073,兵庫県,伊丹市,伊丹スカイパーク,イタミスカイパーク,Itami Sky Park,兵庫県伊丹市森本7-1-1,,34.77689,135.443227,伊丹スカイパーク6,イタミスカイパーク6,Itami Sky Park 6,伊丹市,,,Itami_Free_Wi-Fi,,http://www.city.itami.lg.jp/shokai/sansaku/1488182657648.html,
282073,兵庫県,伊丹市,伊丹シティホテルロビー,イタミシティホテルロビー,Itami City Hotel Lobby,兵庫県伊丹市中央6-2-33,,34.779447,135.417031,,,,伊丹市,,,Itami_Free_Wi-Fi,,http://www.city.itami.lg.jp/shokai/sansaku/1488182657648.html,